# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 1000000 bp max extension, curated regulatory domains included
peak_813	Gpr135 (+81909)
peak_814	Dhrs7 (+36542)
peak_815	Dhrs7 (-29038)
peak_816	Snapc1 (-11055)
peak_817	Syt16 (+55602)
peak_818	Gphb5 (+37366)
peak_819	Ppp2r5e (-35229)
peak_820	Fut8 (-60562)
peak_821	Gm6657 (-418683)
peak_822	Gm6657 (-413752)
peak_823	Zfp36l1 (+248183)
peak_824	Slc10a1 (-22330)
peak_825	Pcnx (+58586)
peak_826	Rgs6 (+172636)
peak_827	Dcaf4 (-14003)
peak_828	Pnma1 (-14393)
peak_829	Ptgr2 (-27029)
peak_830	Ltbp2 (+18074)
peak_831	Eif2b2 (-17720)
peak_832	Batf (+11500)
