# GREAT version 4.0.4	Species assembly: mm10	Association rule: Single nearest gene: 5000000 bp max extension, curated regulatory domains included
Anti-GFP.mLb.mkD.sorted_peak_4089	Hs3st5 (+430)
Anti-GFP.mLb.mkD.sorted_peak_4113	Lama4 (+179)
Anti-GFP.mLb.mkD.sorted_peak_4152	Mfsd4b1 (-105)
Anti-GFP.mLb.mkD.sorted_peak_4154	Slc16a10 (+740)
Anti-GFP.mLb.mkD.sorted_peak_4187	Mettl24 (+288)
Anti-GFP.mLb.mkD.sorted_peak_4198	Gpr6 (+938)
Anti-GFP.mLb.mkD.sorted_peak_4201	Ak9 (+4754)
Anti-GFP.mLb.mkD.sorted_peak_4232	Sesn1 (+75788)
Anti-GFP.mLb.mkD.sorted_peak_4235	Armc2 (+88)
Anti-GFP.mLb.mkD.sorted_peak_4267	Nr2e1 (+1683)
Anti-GFP.mLb.mkD.sorted_peak_4280	Scml4 (+3802)
Anti-GFP.mLb.mkD.sorted_peak_4340	Crybg1 (-921)
Anti-GFP.mLb.mkD.sorted_peak_4346	Atg5 (-119247)
Anti-GFP.mLb.mkD.sorted_peak_4391	Popdc3 (+413)
Anti-GFP.mLb.mkD.sorted_peak_4392	Bves (+46)
Anti-GFP.mLb.mkD.sorted_peak_4395	Lin28b (-1709)
Anti-GFP.mLb.mkD.sorted_peak_4427	Grik2 (+5464)
Anti-GFP.mLb.mkD.sorted_peak_4428	Grik2 (+86)
Anti-GFP.mLb.mkD.sorted_peak_4444	Sim1 (-1278)
Anti-GFP.mLb.mkD.sorted_peak_4445	Sim1 (+7230)
Anti-GFP.mLb.mkD.sorted_peak_4456	Rfx6 (+392)
Anti-GFP.mLb.mkD.sorted_peak_4460	Vgll2 (+2771)
Anti-GFP.mLb.mkD.sorted_peak_4481	Slc35f1 (+562)
Anti-GFP.mLb.mkD.sorted_peak_4493	Fam184a (+573)
Anti-GFP.mLb.mkD.sorted_peak_4495	Man1a (+888)
Anti-GFP.mLb.mkD.sorted_peak_4507	Tbc1d32 (+127)
Anti-GFP.mLb.mkD.sorted_peak_4526	Pkib (+231)
Anti-GFP.mLb.mkD.sorted_peak_4536	Lims1 (-23156)
Anti-GFP.mLb.mkD.sorted_peak_4546	Sh3rf3 (-117)
Anti-GFP.mLb.mkD.sorted_peak_4557	Pla2g12b (+478)
Anti-GFP.mLb.mkD.sorted_peak_4611	Spock2 (+683)
Anti-GFP.mLb.mkD.sorted_peak_4636	Vsir (+45)
Anti-GFP.mLb.mkD.sorted_peak_4676	Pcbd1 (+106)
Anti-GFP.mLb.mkD.sorted_peak_4691	Prf1 (+2980)
Anti-GFP.mLb.mkD.sorted_peak_4718	Npffr1 (-523)
Anti-GFP.mLb.mkD.sorted_peak_4741	Col13a1 (+458)
Anti-GFP.mLb.mkD.sorted_peak_4751	Neurog3 (+1089)
Anti-GFP.mLb.mkD.sorted_peak_4758	Tacr2 (+295)
Anti-GFP.mLb.mkD.sorted_peak_4783	Srgn (+4593)
Anti-GFP.mLb.mkD.sorted_peak_4792	Stox1 (+1261)
Anti-GFP.mLb.mkD.sorted_peak_4820	Pbld1 (-4556)
Anti-GFP.mLb.mkD.sorted_peak_4822	Pbld1 (+44)
Anti-GFP.mLb.mkD.sorted_peak_4825	Atoh7 (-183)
Anti-GFP.mLb.mkD.sorted_peak_4846	Sirt1 (-140)
Anti-GFP.mLb.mkD.sorted_peak_4920	Egr2 (+142)
Anti-GFP.mLb.mkD.sorted_peak_4953	Tmem26 (+344)
Anti-GFP.mLb.mkD.sorted_peak_4960	A930033H14Rik (+391)
Anti-GFP.mLb.mkD.sorted_peak_5009	Slc16a9 (-391)
Anti-GFP.mLb.mkD.sorted_peak_5034	Phyhipl (-106)
Anti-GFP.mLb.mkD.sorted_peak_5039	Bicc1 (+48)
Anti-GFP.mLb.mkD.sorted_peak_5097	Adora2a (+459)
Anti-GFP.mLb.mkD.sorted_peak_5098	Adora2a (+9196)
Anti-GFP.mLb.mkD.sorted_peak_5100	Upb1 (-363)
Anti-GFP.mLb.mkD.sorted_peak_5105	Lrrc75b (-1848)
Anti-GFP.mLb.mkD.sorted_peak_5118	Gm20441 (+233)
Anti-GFP.mLb.mkD.sorted_peak_5119	Gstt1 (+878)
Anti-GFP.mLb.mkD.sorted_peak_5130	Derl3 (-440)
Anti-GFP.mLb.mkD.sorted_peak_5155	Prmt2 (-72)
Anti-GFP.mLb.mkD.sorted_peak_5170	Ftcd (-5494)
Anti-GFP.mLb.mkD.sorted_peak_5241	Krtap10-10 (+282)
Anti-GFP.mLb.mkD.sorted_peak_5242	Gm10318 (+323)
Anti-GFP.mLb.mkD.sorted_peak_5253	Dnmt3l (-4669)
Anti-GFP.mLb.mkD.sorted_peak_5254	Dnmt3l (+643)
Anti-GFP.mLb.mkD.sorted_peak_5285	Ccdc105 (+547)
Anti-GFP.mLb.mkD.sorted_peak_5340	Plppr3 (-1482)
Anti-GFP.mLb.mkD.sorted_peak_5359	Tmem259 (+4192)
