# GREAT version 4.0.4	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
peak_366	Slc25a30 (-48657), Tpt1 (-9399)
peak_367	Nufip1 (+54225), Rps2-ps6 (+72237)
peak_368	Tsc22d1 (-160548), Rps2-ps6 (-17686)
peak_369	Tsc22d1 (+10258), Serp2 (+130842)
peak_370	Tsc22d1 (+38777), Serp2 (+102323)
peak_371	Tsc22d1 (+55224), Serp2 (+85876)
peak_372	Serp2 (-183617), Lacc1 (+296337)
peak_373	Serp2 (-254345), Lacc1 (+225609)
peak_374	Gm10076 (+51011), Spry2 (+163980)
peak_375	Tpm3-rs7 (+58703)
peak_376	Dct (-37524), Tgds (+42995)
peak_377	Dnajc3 (+69372), Uggt2 (+92126)
peak_378	Ipo5 (-107262), Rap2a (+325471)
peak_379	Ipo5 (-78891), Rap2a (+353842)
peak_380	Stk24 (-77105), Slc15a1 (+48815)
peak_381	Ubac2 (-147116), Dock9 (-33073)
peak_382	Zic5 (+31262), Clybl (+252721)
peak_383	Zic5 (+14054), Clybl (+269929)
peak_384	Gm10837 (+209)
peak_385	Itgbl1 (+11526)
peak_386	Ttc23l (-129984), Rai14 (+24888)
peak_387	Retreg1 (-149242), Myo10 (+71497)
peak_388	Retreg1 (-128580), Myo10 (+92159)
peak_389	Fam105a (-66839), Trio (+277467)
peak_390	Tspyl5 (-349231), Mtdh (-45605)
peak_391	Rpl7a-ps3 (-65588), Ankrd46 (+122247)
peak_392	Pabpc1 (-42152), Ywhaz (+143413)
peak_393	Pabpc1 (-60996), Ywhaz (+124569)
peak_394	Gm10384 (-75603), Zfp706 (+51983)
peak_395	Klf10 (-83882), Azin1 (+134677)
peak_396	Fzd6 (-15518), Baalc (+57673)
peak_397	Oxr1 (-468273), Zfpm2 (+324167)
peak_398	Samd12 (-81590), Tnfrsf11b (+294364)
peak_399	Dscc1 (-15084), Deptor (-6742)
peak_400	Fam83a (-10642), Tbc1d31 (+62578)
peak_401	Mtss1 (-198584), Sqle (-34471)
peak_402	Ndrg1 (-70647), St3gal1 (+73705)
peak_403	Arhgap39 (-35968), Zfp251 (+17384)
peak_404	Eif3d (-24780), Cacng2 (+124424)
peak_405	Slc16a8 (-15820), Baiap2l2 (+14956)
peak_406	Rbx1 (+14630), Gm5218 (+18602)
peak_407	Gm8444 (+7075), Tef (+25210)
peak_408	Tcf20 (-74702), Nfam1 (+46470)
peak_409	7530416G11Rik (-34191), Wnt7b (+40652)
peak_410	Ppara (-82205), Wnt7b (-75501)
peak_411	Zdhhc25 (+62388), Brd1 (+71543)
peak_412	Pim3 (+13733), Ttll8 (+78491)
peak_413	Rabl2 (-29717), Syt10 (+220220)
peak_414	Rabl2 (-173935), Syt10 (+76002)
peak_415	Cntn1 (-67687), Smgc (+145150)
peak_416	Gxylt1 (+159310), Pdzrn4 (+718926)
peak_417	Dbx2 (-116497), Ano6 (-18386)
peak_418	Arid2 (-466885), A130051J06Rik (-29046)
peak_419	Scaf11 (-106041), Slc38a1 (+75078)
peak_420	Gm8888 (-186213), Slc38a4 (+102602)
peak_421	Slc38a4 (-117455), Pced1b (-73696)
peak_422	Hdac7 (-19260), Vdr (+44748)
peak_423	Ccdc184 (+13213), Olfr288 (+14523)
peak_424	Spats2 (-11093), Dnajc22 (+16073)
peak_425	Mcrs1 (-9262), Fam186b (+25957)
peak_426	Tmbim6 (-11982), Fmnl3 (-10418)
peak_427	Scn8a (+21426), Fignl2 (+186458)
peak_428	Fignl2 (-19848), Ankrd33 (-17340)
peak_429	Calcoco1 (-188160), Hoxc13 (-10765)
peak_430	Hoxc12 (-9642), Hoxc13 (+6012)
peak_431	Hoxc6 (-9879), Hoxc8 (+9087)
peak_432	Hoxc4 (+25555), Smug1 (+98052)
peak_433	Hoxc4 (+51649), Smug1 (+71958)
peak_434	Smug1 (+10548), Hoxc4 (+113059)
peak_435	Smug1 (-24380), Cbx5 (+57434)
peak_436	Mefv (+28209), Olfr161 (+98873)
peak_437	Tmem114 (+15649)
peak_438	Emp2 (-61053), Tekt5 (+20469)
peak_439	Rmi2 (+8771), Litaf (+149291)
peak_440	Mkl2 (+191588), Parn (+220101)
peak_441	Pdxdc1 (+34916), Ntan1 (+48960)
peak_442	Spidr (-51357), Pkp2 (-15110)
peak_443	Cldn5 (-95759), Sept5 (-51150)
peak_444	Cldn5 (-90016), Sept5 (-56893)
peak_445	Cldn5 (-80471), Sept5 (-66438)
peak_446	Vps8 (-111950), Ephb3 (+106496)
peak_447	Hes1 (-226577), Opa1 (+259383)
peak_448	Fam43a (+57359), Xxylt1 (+424350)
peak_449	Xxylt1 (+207075), Fam43a (+274634)
peak_450	Cep19 (+25002), Nrros (+40674)
peak_451	Zfp148 (-42948), Snx4 (+86371)
peak_452	Muc13 (-78468), Heg1 (+31024)
peak_453	Ropn1 (-77653), Kalrn (-59487)
peak_454	Ccdc14 (-33153), Ropn1 (+6275)
peak_455	Mylk (-39514), Ccdc14 (+54791)
peak_456	Dirc2 (+109535), Sema5b (+118250)
peak_457	Gap43 (+149979), Lsamp (+657814)
peak_458	Gap43 (+34280), Lsamp (+773513)
peak_459	Drd3 (-51215), Tigit (-46822)
peak_460	Trat1 (+21493), Morc1 (+319226)
peak_461	Cd47 (+190499), Bbx (+386273)
peak_462	Bbx (+68137), Cd47 (+508635)
peak_463	Ccdc54 (-142032)
peak_464	Impg2 (-58715), Senp7 (+70155)
peak_465	Robo1 (-739754)
peak_466	Robo1 (-634766)
peak_467	Atp5j (-244753), App (+93329)
peak_468	Krtap11-1 (-313960), Tiam1 (+89556)
peak_469	Hunk (-87067), Scaf4 (-14905)
peak_470	Gm9881 (-40157), Olig2 (-13992)
peak_471	Ifngr2 (-32599), Ifnar1 (+29235)
peak_472	Hlcs (+10056), Sim2 (+218247)
peak_473	Dyrk1a (+143659), Kcnj6 (+284027)
peak_474	Ldhal6b (+147860), Arid1b (+275833)
peak_475	Ldhal6b (+76517), Arid1b (+347176)
peak_476	Synj2 (+8358), Serac1 (+130103)
peak_477	Mpc1 (-22770), Ccr6 (+18466)
peak_478	T (-45218), Prr18 (+48799)
peak_479	1700010I14Rik (+179200), Pabpc6 (+502171)
peak_480	Zfp960 (-66684)
peak_481	Lix1 (-56698), Zfp97 (+224559)
peak_482	Zfp677 (-13777), Vmn1r237 (+56008)
peak_483	Zfp229 (+20596), Zfp820 (+91439)
peak_484	Gm9772 (-73922), Zfp947 (+84967)
peak_485	Flywch2 (-9125), Srrm2 (-8015)
peak_486	Prss22 (-17878), Gm5225 (-7881)
peak_487	Uqcc2 (+18600), Itpr3 (+58012)
peak_488	Tulp1 (-9935), Fkbp5 (+142441)
peak_489	Tulp1 (-145713), Fkbp5 (+6663)
peak_490	Pi16 (+8445), Mtch1 (+20577)
peak_491	Pim1 (-74560), Fgd2 (+55310)
peak_492	Zfand3 (-73764), Mdga1 (-43441)
peak_493	Cyp4f17 (-14083), Cyp4f39 (+23917)
peak_494	Zfp414 (-42855), Myo1f (+30516)
peak_495	Gtf2h4 (-8502), Ddr1 (+22358)
peak_496	Gm7030 (-29699), Gm8909 (+9413)
peak_497	Gm8909 (-10821), H2-T3 (+10929)
peak_498	H2-T3 (-16203), Rpp21 (+51579)
peak_499	H2-T3 (-25723), Rpp21 (+42059)
peak_500	H2-M10.2 (-28883), H2-M10.1 (+10782)
peak_501	9130008F23Rik (-24303), Glyatl3 (+9489)
peak_502	Mep1a (-32153), Ankrd66 (+8713)
peak_503	Tcte1 (-8733), Aars2 (+7860)
peak_504	Mymx (-40411), Capn11 (+16948)
