geneid	name2
ENSMUST00000044311	Colgalt2
ENSMUST00000111859	Rgl1
ENSMUST00000027760	Rgl1
ENSMUST00000111857	Rgl1
ENSMUST00000186568	Ncf2
ENSMUST00000027754	Ncf2
ENSMUST00000027752	Lamc1
ENSMUST00000186380	Dhx9
ENSMUST00000042141	Dhx9
ENSMUST00000191474	Gm28513
ENSMUST00000123490	Teddm2
ENSMUST00000187541	Cacna1e
ENSMUST00000004214	Cacna1e
ENSMUST00000211821	Cacna1e
ENSMUST00000027741	Xpr1
ENSMUST00000111775	Xpr1
ENSMUST00000111774	Xpr1
ENSMUST00000035560	Acbd6
ENSMUST00000097529	Acbd6
ENSMUST00000027740	Lhx4
ENSMUST00000195048	Gm37571
ENSMUST00000015628	Fam163a
ENSMUST00000178036	Axdnd1
ENSMUST00000213088	Axdnd1
ENSMUST00000166172	Abl2
ENSMUST00000027888	Abl2
ENSMUST00000172057	Ralgps2
ENSMUST00000027886	Ralgps2
ENSMUST00000171292	Ralgps2
ENSMUST00000063199	Ralgps2
ENSMUST00000191605	Ralgps2
ENSMUST00000185198	Ralgps2
ENSMUST00000189316	Ralgps2
ENSMUST00000190648	Ralgps2
ENSMUST00000188656	Ralgps2
ENSMUST00000190681	Gm28694
ENSMUST00000086130	Sec16b
ENSMUST00000027881	Sec16b
ENSMUST00000111700	Sec16b
ENSMUST00000192097	Gm38256
ENSMUST00000193042	Astn1
ENSMUST00000046110	Astn1
ENSMUST00000170718	Astn1
ENSMUST00000194369	Astn1
ENSMUST00000195311	Astn1
ENSMUST00000159861	Pappa2
ENSMUST00000076894	Cop1
ENSMUST00000192069	Tnr
ENSMUST00000097514	Gm10530
ENSMUST00000111669	Tnr
ENSMUST00000028052	Rabgap1l
ENSMUST00000195442	Rabgap1l
ENSMUST00000161609	Rc3h1
ENSMUST00000035911	Rc3h1
ENSMUST00000048377	Suco
ENSMUST00000161826	Gm38304
ENSMUST00000159763	Dnm3
ENSMUST00000086074	Dnm3
ENSMUST00000070330	Dnm3
ENSMUST00000161583	2810442N19Rik
ENSMUST00000160665	Dnm3
ENSMUST00000178465	Fmo6
ENSMUST00000195132	Gm37273
ENSMUST00000096608	Mroh9
ENSMUST00000159679	Mettl11b
ENSMUST00000027877	Kifap3
ENSMUST00000077642	Kifap3
ENSMUST00000097493	BC055324
ENSMUST00000045876	BC055324
ENSMUST00000193683	Nme7
ENSMUST00000191947	Nme7
ENSMUST00000193955	Gm32569
ENSMUST00000194322	Gm20743
ENSMUST00000027859	Tbx19
ENSMUST00000027856	Dcaf6
ENSMUST00000111440	Adcy10
ENSMUST00000027852	Adcy10
ENSMUST00000111439	Adcy10
ENSMUST00000161971	Cd247
ENSMUST00000178336	Cd247
ENSMUST00000187313	Cd247
ENSMUST00000005907	Cd247
ENSMUST00000027849	Cd247
ENSMUST00000161559	Cd247
ENSMUST00000160260	Pou2f1
ENSMUST00000111429	Pou2f1
ENSMUST00000184643	Pou2f1
